iter	Passed	Remaining
402	14378	21300
403	14412	21262
404	14438	21212
405	14475	21178
406	14489	21111
407	14524	21074
408	14564	21045
409	14601	21012
410	14636	20975
411	14677	20947
412	14710	20908
413	14746	20873
414	14760	20806
415	14796	20771
416	14809	20705
417	14844	20669
418	14863	20610
419	14882	20551
420	14921	20520
421	14961	20492
422	14981	20435
423	15017	20401
424	15030	20335
425	15047	20275
426	15083	20240
427	15092	20170
428	15110	20112
429	15146	20077
430	15181	20042
431	15220	20011
432	15254	19974
433	15287	19937
434	15323	19902
435	15347	19853
436	15361	19790
437	15397	19756
438	15436	19725
439	15470	19690
440	15505	19653
441	15538	19616
442	15572	19579
443	15604	19540
444	15624	19486
445	15659	19450
446	15691	19412
447	15722	19371
448	15759	19339
449	15799	19310
450	15814	19251
451	15861	19229
452	15900	19200
453	15918	19143
454	15965	19123
455	15984	19069
456	16013	19026
457	16073	19022
458	16092	18967
459	16125	18929
460	16163	18898
461	16198	18862
462	16244	18840
463	16285	18813
464	16331	18790
465	16365	18754
466	16408	18727
467	16460	18711
468	16503	18684
469	16534	18645
470	16559	18598
471	16598	18568
472	16630	18529
473	16663	18491
474	16682	18438
475	16720	18406
476	16761	18378
477	16804	18350
478	16823	18298
479	16863	18268
480	16893	18228
481	16913	18177
482	16944	18137
483	16976	18098
484	17008	18060
485	17045	18027
486	17084	17996
487	17108	17949
488	17157	17929
489	17202	17904
490	17253	17885
491	17276	17838
492	17308	17799
493	17339	17760
494	17369	17720
495	17401	17682
496	17415	17625
497	17453	17593
498	17495	17565
499	17533	17533
500	17565	17495
501	17599	17459
502	17635	17425
503	17676	17396
504	17711	17360
505	17747	17326
506	17790	17299
507	17822	17261
508	17863	17231
509	17896	17194
510	17932	17160
511	17976	17133
512	18016	17103
513	18047	17064
514	18078	17025
515	18109	16986
516	18139	16946
517	18171	16908
518	18182	16851
519	18214	16813
520	18244	16773
521	18286	16744
522	18300	16691
523	18344	16664
524	18381	16630
525	18413	16592
526	18433	16545
527	18464	16506
528	18496	16468
529	18536	16437
530	18569	16401
531	18601	16363
532	18633	16325
533	18664	16287
534	18695	16249
535	18730	16214
536	18777	16189
537	18819	16160
538	18868	16138
539	18904	16103
540	18935	16065
541	18966	16027
542	18978	15972
543	18989	15917
544	19023	15882
545	19056	15845
546	19089	15809
547	19127	15776
548	19166	15744
549	19203	15711
550	19259	15694
551	19293	15658
552	19336	15629
553	19388	15608
554	19446	15591
555	19477	15554
556	19491	15501
557	19521	15463
558	19552	15424
559	19582	15386
560	19615	15349
561	19649	15313
562	19691	15284
563	19732	15254
564	19788	15235
565	19846	15218
566	19886	15186
567	19923	15152
568	19958	15117
569	20002	15089
570	20037	15054
571	20059	15009
572	20107	14984
573	20125	14936
574	20168	14907
575	20225	14888
576	20275	14863
577	20322	14837
578	20376	14816
579	20411	14780
580	20456	14752
581	20491	14717
582	20508	14668
583	20542	14633
584	20574	14595
585	20611	14561
586	20656	14533
587	20693	14499
588	20723	14460
589	20754	14422
590	20785	14384
591	20798	14333
592	20828	14295
593	20876	14269
594	20915	14236
595	20946	14198
596	20984	14165
597	21016	14128
598	21058	14097
599	21100	14067
600	21149	14041
601	21170	13996
602	21214	13966
603	21267	13943
604	21306	13911
605	21340	13874
606	21372	13837
607	21405	13800
608	21435	13762
609	21447	13712
610	21478	13674
611	21507	13635
612	21537	13597
613	21571	13561
614	21582	13511
615	21608	13470
616	21627	13425
617	21673	13396
618	21708	13361
619	21747	13329
620	21792	13300
621	21825	13263
622	21869	13234
623	21919	13207
624	21939	13163
625	21994	13140
626	22054	13120
627	22092	13086
628	22129	13052
629	22169	13020
630	22206	12985
631	22244	12952
632	22259	12905
633	22299	12873
634	22367	12857
635	22431	12837
636	22466	12802
637	22500	12766
638	22535	12731
639	22574	12698
640	22611	12663
641	22646	12628
642	22679	12591
643	22710	12554
644	22744	12518
645	22778	12482
646	22812	12446
647	22852	12413
648	22890	12379
649	22922	12343
650	22960	12308
651	22995	12273
652	23030	12238
653	23078	12209
654	23117	12176
655	23153	12141
656	23189	12106
